OrderID,OrderDate,Region,Category,Product,CustomerSegment,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10019,2024-11-18,Central,Office Supplies,Stapler,Home Office,1,48.1,0.05,45.7,9.04
ORD-10020,2024-10-20,North,Office Supplies,Notebook,Corporate,9,23.47,0.2,168.98,25.22
ORD-10021,2024-11-30,Central,Electronics,Monitor,Consumer,2,269.55,0.05,512.14,169.44
ORD-10022,2024-09-17,East,Office Supplies,Pen Set,Corporate,6,42.43,0.0,254.58,35.15
ORD-10023,2024-02-12,South,Electronics,Monitor,Home Office,3,626.74,0.0,1880.22,305.86
ORD-10024,2023-02-20,Central,Electronics,Headphones,Corporate,6,729.46,0.0,4376.76,924.04
ORD-10025,2024-07-25,Central,Electronics,Monitor,Corporate,2,671.73,0.05,1276.29,187.47
ORD-10026,2024-08-26,Central,Furniture,Desk,Corporate,5,675.34,0.0,3376.7,1095.96
ORD-10027,2023-04-28,Central,Electronics,Keyboard,Consumer,6,1148.1,0.1,6199.74,398.74
ORD-10028,2023-03-27,West,Electronics,Keyboard,Consumer,5,158.28,0.05,751.83,59.66
ORD-10029,2023-10-16,South,Furniture,Lamp,Corporate,3,713.88,0.05,2034.56,624.5
ORD-10030,2023-12-02,North,Office Supplies,Pen Set,Home Office,1,35.26,0.05,33.5,7.16
ORD-10031,2024-02-21,West,Furniture,Bookshelf,Consumer,3,116.59,0.1,314.79,47.52
ORD-10032,2024-08-24,East,Furniture,Desk,Consumer,8,566.6,0.1,4079.52,1187.32
ORD-10033,2024-04-01,East,Office Supplies,Notebook,Corporate,5,52.29,0.0,261.45,66.4
ORD-10034,2023-09-30,North,Electronics,Monitor,Corporate,9,392.28,0.15,3000.94,469.56
ORD-10035,2024-07-17,Central,Office Supplies,Pen Set,Consumer,4,41.01,0.2,131.23,37.32
ORD-10036,2023-07-05,Central,Office Supplies,Pen Set,Home Office,9,8.79,0.1,71.2,16.77
ORD-10037,2024-10-14,South,Furniture,Chair,Home Office,3,101.83,0.05,290.22,89.66
ORD-10038,2023-11-23,West,Electronics,Keyboard,Corporate,7,864.41,0.05,5748.33,1850.42
ORD-10039,2024-10-14,South,Furniture,Sofa,Consumer,9,605.6,0.0,5450.4,739.69
ORD-10040,2023-05-14,Central,Furniture,Sofa,Consumer,5,717.27,0.0,3586.35,927.51
ORD-10041,2023-11-01,Central,Furniture,Chair,Corporate,8,724.88,0.0,5799.04,475.68
ORD-10042,2024-11-06,West,Furniture,Desk,Corporate,6,313.86,0.0,1883.16,252.21
ORD-10043,2024-07-11,South,Office Supplies,Folder,Home Office,8,26.26,0.15,178.57,38.48
ORD-10044,2024-01-09,North,Electronics,Headphones,Home Office,1,733.25,0.15,623.26,118.8
ORD-10045,2024-06-01,Central,Electronics,Keyboard,Corporate,3,1100.14,0.0,3300.42,611.12
ORD-10046,2024-12-17,North,Furniture,Chair,Corporate,2,126.3,0.05,239.97,71.85
ORD-10047,2023-08-24,North,Electronics,Smartphone,Consumer,5,204.12,0.1,918.54,267.77
ORD-10048,2023-11-02,East,Furniture,Desk,Home Office,8,304.67,0.2,1949.89,271.79
ORD-10049,2023-05-18,North,Electronics,Headphones,Consumer,3,1177.04,0.05,3354.56,630.78
ORD-10050,2024-06-03,East,Electronics,Smartphone,Home Office,3,817.69,0.15,2085.11,320.12
ORD-10051,2024-05-27,West,Electronics,Laptop,Corporate,9,1078.35,0.0,9705.15,1886.13
ORD-10052,2023-04-17,North,Office Supplies,Folder,Corporate,4,36.64,0.0,146.56,23.62
ORD-10053,2023-03-19,South,Furniture,Lamp,Corporate,7,141.17,0.05,938.78,196.8
ORD-10054,2023-01-15,West,Electronics,Keyboard,Corporate,9,698.56,0.15,5343.98,1218.84
ORD-10055,2023-04-19,South,Furniture,Sofa,Home Office,9,368.06,0.0,3312.54,1059.66
ORD-10056,2023-11-11,North,Electronics,Keyboard,Consumer,4,58.66,0.15,199.44,15.23
ORD-10057,2023-05-17,East,Office Supplies,Stapler,Home Office,2,8.5,,16.15,5.25
ORD-10058,2024-08-28,North,Furniture,Bookshelf,Corporate,5,474.43,0.0,2372.15,348.95
ORD-10059,2023-04-23,South,Office Supplies,Notebook,Corporate,4,10.95,0.0,43.8,9.99
ORD-10060,2023-09-18,West,Office Supplies,Pen Set,Corporate,5,16.77,0.0,83.85,7.13
ORD-10061,2024-02-23,Central,Furniture,Chair,Corporate,9,350.47,0.0,3154.23,516.56
ORD-10062,2024-07-25,North,Electronics,Smartphone,Consumer,5,281.87,0.0,1409.35,338.42
ORD-10063,2023-02-11,East,Electronics,Headphones,Consumer,9,396.58,0.0,3569.22,597.65
ORD-10064,2023-04-14,East,Office Supplies,Stapler,Home Office,1,11.67,0.05,11.09,3.53
ORD-10065,2023-04-07,East,Electronics,Keyboard,Home Office,5,214.6,0.15,912.05,139.2
ORD-10066,2023-08-16,Central,Electronics,Monitor,Consumer,3,609.31,0.1,1645.14,350.11
ORD-10067,2023-01-11,South,Furniture,Desk,Corporate,2,733.01,0.1,1319.42,73.14
ORD-10068,2023-12-22,South,Electronics,Keyboard,Consumer,8,712.73,0.15,4846.56,1566.44
ORD-10069,2023-12-12,North,Furniture,Sofa,Consumer,5,434.32,0.0,2171.6,593.44
ORD-10070,2024-10-27,West,Electronics,Smartphone,Consumer,2,1043.05,0.2,1668.88,377.37
ORD-10071,2023-07-01,Central,Electronics,Monitor,Consumer,2,466.75,0.1,840.15,86.88
ORD-10072,2024-09-21,Central,Furniture,Sofa,Consumer,3,275.55,0.0,826.65,264.05
ORD-10073,2024-03-04,South,Electronics,Smartphone,Consumer,1,941.86,0.05,894.77,194.96
ORD-10074,2023-02-24,South,Office Supplies,Stapler,Corporate,7,48.44,0.0,339.08,89.79
ORD-10075,2024-03-18,North,Office Supplies,Folder,Home Office,8,34.29,0.0,274.32,33.73
ORD-10076,2024-05-05,South,Electronics,Keyboard,Home Office,3,778.23,0.05,2217.96,391.31
ORD-10077,2024-06-06,East,Furniture,Desk,Home Office,9,671.3,0.05,5739.62,794.02
ORD-10078,2023-10-07,East,Electronics,Headphones,Corporate,1,591.73,0.0,591.73,125.74
ORD-10079,2023-10-05,South,Office Supplies,Printer Paper,Corporate,6,41.62,0.2,199.78,17.05
ORD-10080,2023-01-17,South,Electronics,Laptop,Home Office,6,172.57,0.1,931.88,116.69
ORD-10081,2024-11-15,Central,Electronics,Headphones,Corporate,1,646.76,0.0,646.76,149.37
ORD-10082,2023-10-23,North,Office Supplies,Printer Paper,Home Office,8,29.61,0.2,189.5,51.12
ORD-10083,2023-05-28,West,Office Supplies,Stapler,Home Office,9,10.97,0.1,88.86,7.28
ORD-10084,2023-08-05,South,Electronics,Smartphone,Consumer,3,333.36,0.0,1000.08,227.09
ORD-10085,2023-01-17,North,Furniture,Chair,Home Office,5,768.21,0.1,3456.94,923.8
ORD-10086,2024-04-10,East,Electronics,Monitor,Corporate,7,109.34,0.2,612.3,132.71
ORD-10087,2023-12-01,East,Electronics,Laptop,Corporate,4,535.03,0.15,1819.1,265.1
ORD-10088,2023-06-08,West,Office Supplies,Printer Paper,Consumer,7,21.71,0.05,144.37,32.01
ORD-10089,2024-02-01,Central,Furniture,Chair,Corporate,2,357.3,0.0,714.6,223.25
ORD-10090,2023-02-08,Central,Furniture,Sofa,Corporate,8,68.57,0.0,548.56,92.97
ORD-10091,2023-12-06,North,Electronics,Laptop,Home Office,2,587.41,,1174.82,73.58
ORD-10092,2024-08-07,North,Office Supplies,Notebook,Home Office,6,7.19,0.2,34.51,10.88
ORD-10093,2023-08-14,West,Electronics,Monitor,Home Office,3,511.82,0.05,1458.69,173.88
ORD-10094,2024-05-20,Central,Office Supplies,Folder,Corporate,1,55.81,0.0,55.81,9.42
ORD-10095,2023-08-04,Central,Office Supplies,Stapler,Consumer,2,35.65,0.05,67.74,11.34
ORD-10096,2023-07-14,West,Electronics,Headphones,Corporate,2,980.94,0.05,1863.79,301.57
ORD-10097,2024-08-24,West,Furniture,Lamp,Consumer,3,793.52,0.15,2023.48,312.31
ORD-10098,2023-10-16,West,Furniture,Bookshelf,Consumer,9,161.9,0.2,1165.68,95.29
ORD-10099,2023-05-13,South,Office Supplies,Folder,Consumer,5,9.47,0.1,42.62,4.19
ORD-10100,2024-06-07,Central,Office Supplies,Pen Set,Corporate,2,8.72,0.1,15.7,3.33
ORD-10101,2024-02-18,North,Office Supplies,Pen Set,Corporate,6,56.06,0.2,269.09,68.99
ORD-10102,2023-01-17,South,Furniture,Chair,Corporate,2,511.9,0.2,819.04,207.07
ORD-10103,2024-01-16,East,Office Supplies,Folder,Consumer,7,46.68,0.05,310.42,41.0
ORD-10104,2024-02-01,Central,Electronics,Keyboard,Home Office,6,303.89,0.0,1823.34,565.99
ORD-10105,2023-01-21,East,Office Supplies,Folder,Corporate,6,20.09,0.0,120.54,13.73
ORD-10106,2024-06-07,East,Furniture,Sofa,Corporate,2,109.29,0.1,196.72,46.79
ORD-10107,2024-01-13,North,Office Supplies,Printer Paper,Corporate,4,41.76,0.05,158.69,18.67
ORD-10108,2024-05-15,East,Electronics,Headphones,Consumer,2,222.02,0.05,421.84,97.03
ORD-10109,2023-04-12,,Electronics,Smartphone,Consumer,6,328.35,0.1,1773.09,462.31
ORD-10110,2023-01-02,North,Electronics,Laptop,Consumer,7,144.88,0.0,1014.16,223.38
ORD-10111,2023-04-16,North,Office Supplies,Printer Paper,Home Office,9,36.5,0.0,328.5,69.77
ORD-10112,2024-11-20,East,Furniture,Sofa,Home Office,6,720.06,0.05,4104.34,997.66
ORD-10113,2023-01-12,Central,Office Supplies,Printer Paper,Consumer,4,58.6,0.1,210.96,65.72
ORD-10114,2024-08-16,East,Furniture,Desk,Corporate,3,452.28,0.1,1221.16,87.51
ORD-10115,2023-11-28,South,Electronics,Keyboard,Consumer,4,1023.18,0.05,3888.08,828.12
ORD-10116,2023-09-07,West,Electronics,Headphones,Corporate,3,737.38,0.05,2101.53,680.28
ORD-10117,2024-07-05,East,Electronics,Laptop,Corporate,2,873.2,0.0,1746.4,534.95
ORD-10118,2024-01-16,West,Office Supplies,Notebook,Corporate,2,20.1,0.15,34.17,1.8
ORD-10119,2024-11-06,South,Electronics,Smartphone,Home Office,9,558.33,0.05,4773.72,594.87
ORD-10120,2024-07-29,West,Furniture,Sofa,Consumer,1,311.12,0.15,264.45,77.14
ORD-10121,2024-09-11,West,Office Supplies,Folder,Corporate,1,15.41,0.0,15.41,2.86
ORD-10122,2024-11-21,South,Furniture,Sofa,Consumer,9,561.34,0.1,4546.85,1411.23
ORD-10123,2023-06-27,West,Office Supplies,Printer Paper,Home Office,7,42.87,0.0,300.09,31.96
ORD-10124,2023-12-24,North,Electronics,Headphones,Home Office,2,1175.43,0.1,2115.77,657.31
ORD-10125,2023-12-11,North,Furniture,Sofa,Consumer,5,540.75,0.05,2568.56,397.03
ORD-10126,2024-07-28,North,Electronics,Laptop,Consumer,9,1051.37,0.0,9462.33,2319.72
ORD-10127,2023-01-19,South,Furniture,Desk,Consumer,8,371.04,0.0,2968.32,726.41
ORD-10128,2024-12-11,East,Office Supplies,Folder,Consumer,6,23.65,0.0,141.9,32.78
ORD-10129,2023-01-03,South,Electronics,Headphones,Corporate,5,1101.37,0.0,5506.85,1233.82
ORD-10130,2023-12-09,West,Furniture,Desk,Home Office,5,665.02,0.15,2826.34,347.77
ORD-10131,2023-05-21,South,Furniture,Bookshelf,Corporate,3,235.15,0.05,670.18,51.53
ORD-10132,2024-08-11,East,Furniture,Chair,Home Office,7,177.89,0.0,1245.23,358.65
ORD-10133,2023-03-25,West,Furniture,Chair,Consumer,6,763.07,0.05,4349.5,991.95
ORD-10134,2024-01-13,South,Electronics,Keyboard,Consumer,3,322.4,0.15,822.12,206.7
ORD-10135,2024-03-14,North,Furniture,Lamp,Home Office,6,399.4,0.0,2396.4,581.35
ORD-10136,2024-10-11,Central,Electronics,Keyboard,Consumer,5,621.28,0.1,2795.76,511.11
ORD-10137,2024-04-03,East,Office Supplies,Printer Paper,Corporate,4,46.81,0.0,187.24,59.59
ORD-10138,2023-03-11,Central,Electronics,Monitor,Consumer,5,1006.64,0.0,5033.2,1146.78
ORD-10139,2023-02-27,West,Office Supplies,Pen Set,Corporate,4,27.89,0.0,111.56,24.4
ORD-10140,2023-10-14,South,Office Supplies,Notebook,Corporate,8,2.07,0.1,14.9,4.89
ORD-10141,2023-04-14,West,Furniture,Lamp,Consumer,2,435.93,0.1,784.67,242.78
ORD-10142,2024-05-14,West,Furniture,Lamp,Consumer,2,299.67,0.2,479.47,103.63
ORD-10143,2024-02-11,South,Furniture,Sofa,Home Office,5,637.57,0.0,3187.85,638.67
ORD-10144,2024-03-04,East,Office Supplies,Pen Set,Home Office,2,25.37,0.0,50.74,5.94
ORD-10145,2023-09-23,North,Electronics,Headphones,Consumer,6,1041.32,0.15,5310.73,771.43
ORD-10146,2024-10-14,Central,Electronics,Headphones,Corporate,4,632.02,0.05,2401.68,196.22
ORD-10147,2023-09-11,East,Furniture,Sofa,Home Office,2,633.38,0.05,1203.42,332.48
ORD-10148,2023-03-24,Central,Electronics,Smartphone,Consumer,1,950.1,0.05,902.6,315.02
ORD-10149,2023-08-09,Central,Furniture,Desk,Home Office,6,187.91,0.15,958.34,258.83
ORD-10150,2024-01-21,Central,Furniture,Bookshelf,Corporate,8,482.43,,3666.47,420.03
ORD-10151,2023-08-01,Central,Electronics,Headphones,Consumer,5,99.03,0.15,420.88,33.43
ORD-10152,2024-07-17,North,Furniture,Bookshelf,Consumer,1,389.18,0.2,311.34,89.07
ORD-10153,2024-07-25,South,Electronics,Laptop,Corporate,7,94.19,0.1,593.4,189.02
ORD-10154,2023-06-22,West,Office Supplies,Folder,Consumer,7,4.21,0.1,26.52,1.9
ORD-10155,2024-10-06,West,Electronics,Headphones,Home Office,3,1166.36,0.0,3499.08,278.24
ORD-10156,2023-11-16,North,Furniture,Sofa,Home Office,2,213.16,0.0,426.32,53.98
ORD-10157,2023-08-05,South,Furniture,Desk,Consumer,5,400.5,0.2,1602.0,330.38
ORD-10158,2024-06-05,South,Office Supplies,Notebook,Home Office,9,33.91,0.0,305.19,40.33
ORD-10159,2024-03-10,Central,Furniture,Chair,Home Office,9,280.86,0.05,2401.35,578.3
ORD-10160,2023-10-29,East,Furniture,Sofa,Corporate,2,244.69,0.0,489.38,125.08
ORD-10161,2024-04-07,Central,Office Supplies,Printer Paper,Corporate,6,31.48,0.05,179.44,46.06
ORD-10162,2023-05-08,South,Electronics,Headphones,Consumer,3,902.97,0.05,2573.46,746.36
ORD-10163,2023-10-29,East,Office Supplies,Stapler,Corporate,6,34.15,0.15,174.16,52.59
ORD-10164,2024-09-24,North,Furniture,Lamp,Home Office,3,679.9,0.2,1631.76,261.89
ORD-10165,2024-06-19,South,Furniture,Bookshelf,Consumer,6,41.43,0.0,248.58,25.95
ORD-10166,2024-08-05,Central,Electronics,Smartphone,Corporate,2,695.71,0.05,1321.85,304.88
ORD-10167,2023-11-15,Central,Furniture,Bookshelf,Corporate,3,199.48,0.05,568.52,53.57
ORD-10168,2023-05-26,North,Office Supplies,Printer Paper,Home Office,6,44.55,0.1,240.57,42.43
ORD-10169,2024-02-03,East,Furniture,Sofa,Home Office,2,486.7,0.0,973.4,253.16
ORD-10170,2024-12-10,Central,Electronics,Smartphone,Home Office,3,1131.78,0.0,3395.34,640.09
ORD-10171,2024-12-04,South,Electronics,Monitor,Corporate,9,887.13,0.0,7984.17,536.41
ORD-10172,2024-07-22,North,Office Supplies,Printer Paper,Consumer,7,18.37,0.0,128.59,41.39
ORD-10173,2023-07-01,North,Office Supplies,Pen Set,Consumer,4,51.48,0.1,185.33,40.51
ORD-10174,2024-06-02,East,Furniture,Desk,Home Office,8,339.02,0.0,2712.16,730.24
ORD-10175,2023-05-11,Central,Office Supplies,Pen Set,Consumer,9,37.29,0.0,335.61,19.0
ORD-10176,2023-11-23,North,Furniture,Chair,Consumer,7,347.02,0.1,2186.23,465.8
ORD-10177,2024-07-30,Central,Furniture,Lamp,Corporate,3,204.23,0.1,551.42,117.8
ORD-10178,2024-07-24,East,Furniture,Bookshelf,Home Office,4,298.23,0.1,1073.63,220.97
ORD-10179,2024-12-26,Central,Furniture,Bookshelf,Consumer,2,610.55,0.0,1221.1,231.01
ORD-10180,2023-08-15,North,Furniture,Sofa,Home Office,8,629.47,0.0,5035.76,393.85
ORD-10181,2024-04-29,South,Electronics,Laptop,Corporate,3,564.74,0.0,1694.22,540.72
ORD-10182,2023-08-08,West,Electronics,Keyboard,Home Office,3,410.14,0.15,1045.86,304.43
ORD-10183,2024-07-28,Central,Electronics,Keyboard,Corporate,7,779.87,0.0,5459.09,1397.85
ORD-10184,2024-10-27,East,Furniture,Lamp,Consumer,6,265.33,0.1,1432.78,206.76
ORD-10185,2024-04-01,East,Electronics,Headphones,Corporate,1,249.83,0.0,249.83,23.13
ORD-10186,2023-11-10,North,Office Supplies,Notebook,Consumer,1,16.73,0.0,16.73,4.23
ORD-10187,2023-06-05,West,Office Supplies,Notebook,Consumer,4,39.29,0.15,133.59,15.32
ORD-10188,2023-11-09,West,Electronics,Keyboard,Corporate,2,1089.15,,1960.47,612.19
ORD-10189,2023-12-20,Central,Furniture,Sofa,Corporate,4,782.37,0.0,3129.48,552.14
ORD-10190,2024-10-23,East,Electronics,Smartphone,Home Office,7,917.06,0.1,5777.48,1258.08
ORD-10191,2024-02-02,Central,Furniture,Lamp,Consumer,9,49.43,0.15,378.14,27.33
ORD-10192,2023-02-10,West,Office Supplies,Printer Paper,Corporate,7,53.75,0.05,357.44,107.75
ORD-10193,2024-07-29,Central,Furniture,Desk,Home Office,1,231.75,0.1,208.58,43.3
ORD-10194,2024-04-26,West,Electronics,Keyboard,Corporate,4,549.79,0.05,2089.2,484.96
ORD-10195,2024-10-30,West,Office Supplies,Printer Paper,Corporate,8,17.24,0.1,124.13,33.9
ORD-10196,2023-09-19,South,Furniture,Chair,Consumer,3,499.09,0.0,1497.27,511.26
ORD-10197,2024-02-28,Central,Furniture,Bookshelf,Consumer,8,44.18,0.0,353.44,29.13
ORD-10198,2024-12-04,East,Furniture,Desk,Corporate,9,341.73,0.15,2614.23,547.63
ORD-10199,2024-07-04,East,Electronics,Smartphone,Home Office,3,201.21,0.05,573.45,184.81
ORD-10200,2023-08-28,South,Electronics,Keyboard,Home Office,7,1147.14,0.1,7226.98,2159.97
ORD-10201,2024-10-19,North,Furniture,Sofa,Home Office,8,110.14,0.1,793.01,56.54
ORD-10202,2023-04-15,East,Furniture,Desk,Home Office,9,421.64,0.1,3415.28,1065.94
ORD-10203,2024-05-28,South,Electronics,Smartphone,Consumer,7,849.11,0.05,5646.58,356.42
ORD-10204,2023-08-11,West,Electronics,Laptop,Consumer,7,846.37,0.05,5628.36,1736.48
ORD-10205,2024-03-26,West,Office Supplies,Printer Paper,Home Office,9,53.6,0.0,482.4,80.99
ORD-10206,2024-10-29,Central,Electronics,Monitor,Consumer,2,447.76,0.1,805.97,122.65
ORD-10207,2024-07-29,West,Electronics,Headphones,Corporate,5,572.1,0.0,2860.5,981.83
ORD-10208,2024-10-27,East,Office Supplies,Stapler,Corporate,5,10.53,0.0,52.65,16.85
ORD-10209,2023-02-04,South,Office Supplies,Printer Paper,Consumer,4,57.75,0.0,231.0,78.82
ORD-10210,2024-05-03,South,Electronics,Keyboard,Consumer,2,926.19,0.0,1852.38,200.77
ORD-10211,2024-06-16,East,Office Supplies,Printer Paper,Consumer,2,27.75,0.05,52.72,8.99
ORD-10212,2023-04-14,South,Furniture,Chair,Home Office,1,340.3,0.1,306.27,98.64
ORD-10213,2023-09-24,West,Furniture,Lamp,Corporate,1,640.79,0.1,576.71,109.59
ORD-10214,2023-05-27,West,Furniture,Sofa,Corporate,1,325.25,0.05,308.99,56.35
ORD-10215,2024-05-13,East,Furniture,Chair,Consumer,4,349.76,0.15,1189.18,229.45
ORD-10216,2023-12-03,East,Electronics,Laptop,Home Office,7,1065.98,0.0,7461.86,1440.53
ORD-10217,2024-07-19,Central,Furniture,Desk,Corporate,3,597.12,0.2,1433.09,362.64
ORD-10218,2024-10-08,West,Office Supplies,Notebook,Consumer,8,2.33,0.1,16.78,4.15
ORD-10219,2023-07-13,South,Office Supplies,Notebook,Corporate,3,3.42,0.05,9.75,2.34
ORD-10220,2023-02-14,East,Electronics,Smartphone,Corporate,6,394.5,0.0,2367.0,170.12
ORD-10221,2024-05-22,East,Furniture,Bookshelf,Corporate,9,402.09,0.0,3618.81,217.49
ORD-10222,2023-10-08,South,Furniture,Chair,Corporate,2,461.54,0.0,923.08,243.86
ORD-10223,2023-01-22,Central,Furniture,Sofa,Home Office,2,246.27,0.0,492.54,117.65
ORD-10224,2024-08-13,South,Electronics,Laptop,Consumer,7,103.88,0.05,690.8,131.31
ORD-10225,2023-06-06,North,Office Supplies,Notebook,Home Office,4,20.17,0.2,64.54,21.49
ORD-10226,2024-07-21,North,Office Supplies,Folder,Corporate,9,55.95,0.1,453.2,23.25
ORD-10227,2023-01-13,West,Electronics,Laptop,Home Office,5,1143.39,0.05,5431.1,1305.1
ORD-10228,2024-05-16,North,Office Supplies,Printer Paper,Home Office,9,23.39,0.0,210.51,59.0
ORD-10229,2023-01-31,North,Furniture,Chair,Corporate,7,708.92,0.1,4466.2,618.97
ORD-10230,2023-10-01,West,Office Supplies,Printer Paper,Consumer,5,35.59,0.0,177.95,28.53
ORD-10231,2024-10-11,Central,Electronics,Monitor,Corporate,6,66.9,0.1,361.26,120.9
ORD-10232,2024-09-05,West,Electronics,Monitor,Consumer,6,583.71,0.1,3152.03,587.78
ORD-10233,2024-08-26,East,Furniture,Sofa,Corporate,2,625.32,0.0,1250.64,225.93
ORD-10234,2023-02-24,North,Furniture,Sofa,Corporate,7,471.75,0.15,2806.91,709.23
ORD-10235,2024-12-29,West,Electronics,Smartphone,Home Office,7,866.66,0.1,5459.96,1226.65
ORD-10236,2024-08-30,West,Furniture,Bookshelf,Corporate,9,211.29,0.1,1711.45,486.73
ORD-10237,2024-11-23,East,Office Supplies,Printer Paper,Home Office,6,21.57,0.05,122.95,38.98
ORD-10238,2023-01-05,North,Electronics,Smartphone,Corporate,5,397.2,0.2,1588.8,375.39
ORD-10239,2024-08-12,East,Furniture,Lamp,Corporate,1,405.81,0.0,405.81,141.42
ORD-10240,2024-05-06,West,Furniture,Chair,Home Office,9,349.07,0.0,3141.63,589.65
ORD-10241,2023-06-03,West,Furniture,Sofa,Home Office,5,309.83,0.2,1239.32,421.51
ORD-10242,2024-04-22,East,Office Supplies,Notebook,Home Office,6,46.29,0.1,249.97,75.15
ORD-10243,2023-06-05,Central,Furniture,Bookshelf,Corporate,6,684.51,0.05,3901.71,229.23
ORD-10244,2023-01-10,South,Electronics,Smartphone,Home Office,3,618.88,0.0,1856.64,512.95
ORD-10245,2024-08-25,South,Furniture,Chair,Consumer,4,468.7,0.15,1593.58,511.01
ORD-10246,2023-09-23,North,Office Supplies,Stapler,Consumer,8,10.59,0.0,84.72,28.39
ORD-10247,2024-10-22,South,Office Supplies,Printer Paper,Home Office,7,53.86,0.15,320.47,54.57
ORD-10248,2023-03-25,West,Office Supplies,Pen Set,Consumer,7,21.23,0.0,148.61,35.79
ORD-10249,2024-02-25,East,Electronics,Smartphone,Home Office,4,432.02,0.0,1728.08,540.48
ORD-10250,2023-10-06,Central,Electronics,Keyboard,Corporate,6,661.82,0.0,3970.92,1357.75
ORD-10251,2023-11-13,West,Office Supplies,Stapler,Corporate,7,26.12,0.1,164.56,52.46
ORD-10252,2023-07-25,West,Electronics,Smartphone,Home Office,8,303.56,0.1,2185.63,160.72
ORD-10253,2024-03-18,North,Furniture,Chair,Home Office,4,406.22,0.1,1462.39,130.13
ORD-10254,2023-07-10,West,Electronics,Smartphone,Consumer,7,1122.86,0.05,7467.02,2436.48
ORD-10255,2024-09-29,South,Electronics,Laptop,Home Office,4,109.68,0.2,350.98,107.74
ORD-10256,2023-06-24,North,Electronics,Laptop,Home Office,4,604.88,0.0,2419.52,139.26
ORD-10257,2023-09-27,West,Furniture,Lamp,Home Office,8,576.71,0.0,4613.68,929.37
ORD-10258,2024-06-08,East,Furniture,Bookshelf,Home Office,7,654.68,0.0,4582.76,1351.56
ORD-10259,2023-07-25,South,Office Supplies,Stapler,Home Office,1,41.09,0.05,39.04,5.32
ORD-10260,2024-02-05,Central,Furniture,Chair,Consumer,1,500.18,0.0,500.18,89.95
ORD-10261,2024-03-25,North,Furniture,Sofa,Consumer,7,597.45,0.05,3973.04,1093.71
ORD-10262,2023-12-04,North,Office Supplies,Pen Set,Consumer,2,58.67,0.2,93.87,7.88
ORD-10263,2024-04-18,East,Electronics,Laptop,Consumer,9,507.25,0.1,4108.73,982.85
ORD-10264,2023-06-03,Central,Office Supplies,Stapler,Home Office,3,7.34,0.1,19.82,4.85
ORD-10265,2023-05-14,South,Office Supplies,Stapler,Consumer,4,20.15,0.0,80.6,4.08
ORD-10266,2023-09-23,East,Electronics,Smartphone,Consumer,9,283.03,0.0,2547.27,606.88
ORD-10267,2023-05-17,South,Office Supplies,Notebook,Consumer,6,41.0,0.0,246.0,12.91
ORD-10268,2024-05-21,West,Electronics,Laptop,Home Office,3,347.52,0.05,990.43,231.75
ORD-10269,2023-07-31,Central,Electronics,Laptop,Home Office,1,107.52,0.0,107.52,14.11
ORD-10270,2023-03-02,South,Furniture,Bookshelf,Consumer,2,101.67,0.15,172.84,51.32
ORD-10271,2024-11-16,North,Office Supplies,Pen Set,Home Office,1,5.97,0.2,4.78,1.08
ORD-10272,2024-11-24,South,Electronics,Laptop,Home Office,6,572.5,0.05,3263.25,596.4
ORD-10273,2023-04-02,East,Furniture,Desk,Corporate,6,268.8,0.0,1612.8,182.26
